date,balance,margin,available,short_balance,ery,long_balance,commission,net_pnl,count,turnover,return,high_level,draw_down,dd_percent,return_x
2020-06-16,116355.65778979492,10794.000732421802,105561.65705737312,116160.77779492187,{'rb2010.SHFE': -118.52100805663983},116160.77779492187,118.52100805663983,-118.52100805664668,18,64659.004394530806,-0.001018091323956077,117658.76783740234,-1303.1100476074207,-1.1075333114215884,0.998981908676044
2020-06-17,116430.25878466797,0.0,116430.25878466797,116237.13678173827,{'rb2010.SHFE': 74.6009948730474},116237.13678173827,75.3990051269526,74.60099487304979,9,32295.0021972654,0.0006409408139865831,117658.76783740234,-1228.509052734371,-1.0441287762184455,1.0006409408139867
2020-06-18,116384.52077954101,10827.000732421802,105557.52004711921,116504.85977954102,{'rb2010.SHFE': -45.7380051269526},116504.85977954102,75.7380051269526,-45.73800512695743,12,43290.0029296872,-0.00039291324890105173,117658.76783740234,-1274.2470578613284,-1.0830022116348053,0.999607086751099
2020-06-19,116859.12077514648,10929.000732421802,105930.12004272468,116338.78277441405,{'rb2010.SHFE': 474.5999956054692},116338.78277441405,65.4000043945308,474.59999560547294,9,32727.0021972654,0.0040695698921966485,117658.76783740234,-799.6470622558554,-0.6796323614071174,1.0040695698921966
2020-06-22,116769.22276708984,0.0,116769.22276708984,117333.72077075196,{'rb2010.SHFE': -89.89800805663978},117333.72077075196,119.89800805663978,-89.89800805663981,15,54483.003662109004,-0.0007695813883752022,117658.76783740234,-889.5450703124952,-0.7560380638541069,0.9992304186116248
2020-06-23,116540.73075976562,0.0,116540.73075976562,116679.3247590332,{'rb2010.SHFE': -228.492007324218},116679.3247590332,108.49200732421801,-228.4920073242247,15,54252.003662109004,-0.0019586998061685056,117658.76783740234,-1118.03707763672,-0.9502369421221399,0.9980413001938315
2020-06-24,116039.77875024414,10857.000732421802,105182.77801782233,116312.2387524414,{'rb2010.SHFE': -500.95200952148343},116312.2387524414,140.95200952148338,-500.952009521483,21,75924.0051269526,-0.004307779574958356,117658.76783740234,-1618.989087158203,-1.3760037750824934,0.9956922204250417
2020-06-29,115056.19874658203,0.0,115056.19874658203,115538.82674072265,{'rb2010.SHFE': -983.580003662109},115538.82674072265,53.58000366210901,-983.5800036621076,6,21408.0014648436,-0.00851235883474516,117658.76783740234,-2602.5690908203105,-2.2119635779433895,0.9914876411652549
2020-06-30,114931.9087421875,0.0,114931.9087421875,114072.61874291992,{'rb2010.SHFE': -124.29000439453081},114072.61874291992,64.29000439453081,-124.29000439452648,9,32148.0021972654,-0.0010808386385835706,117658.76783740234,-2726.859095214837,-2.317599568085907,0.9989191613614165
2020-07-01,114711.50473120117,10674.000732421802,104037.50399877937,114807.61873779297,{'rb2010.SHFE': -220.40401098632702},114807.61873779297,160.40401098632702,-220.4040109863272,24,85554.0058593744,-0.0019195332043525756,117658.76783740234,-2947.263106201164,-2.5049243336239186,0.9980804667956474
2020-07-02,114578.72771801759,10716.000732421802,103862.72698559579,114491.10072021485,{'rb2010.SHFE': -132.7770131835924},114491.10072021485,192.7770131835924,-132.77701318358595,27,96408.0065917962,-0.0011581568617795202,117658.76783740234,-3080.04011938475,-2.6177735633277996,0.9988418431382204
2020-07-03,115798.88770922853,10830.000732421802,104968.88697680672,114445.950704834,{'rb2010.SHFE': 1220.1599912109384},114445.950704834,129.84000878906164,1220.1599912109377,18,64923.004394530806,0.010592794774483931,117658.76783740234,-1859.8801281738124,-1.580740783163784,1.010592794774484
2020-07-06,115642.71368652345,0.0,115642.71368652345,117019.04770043946,{'rb2010.SHFE': -156.1740227050758},117019.04770043946,336.1740227050758,-156.1740227050759,45,162663.010986327,-0.0013495762686335214,117658.76783740234,-2016.0541508788883,-1.713475491826465,0.9986504237313665
2020-07-07,115555.44368066407,0.0,115555.44368066407,115486.53966381837,{'rb2010.SHFE': -87.27000585937441},115486.53966381837,87.27000585937441,-87.2700058593764,12,43635.0029296872,-0.0007549368991344533,117658.76783740234,-2103.3241567382647,-1.7876476147064009,0.9992450631008656
2020-07-08,117203.83267260743,11079.000732421802,106124.83194018563,115468.1736748047,{'rb2010.SHFE': 1648.3889919433602},115468.1736748047,121.61100805663983,1648.3889919433568,18,66270.0043945308,0.014164131942288024,117658.76783740234,-454.9351647949079,-0.38665640747113905,1.014164131942288
2020-07-09,117850.04166381837,11157.000732421802,106693.04093139656,118852.22166455079,{'rb2010.SHFE': 646.2089912109384},118852.22166455079,133.79100878906164,646.2089912109368,18,66906.0043945308,0.005498404321771023,117850.04166381837,0.0,0.0,1.005498404321771
2020-07-10,117923.33465283204,0.0,117923.33465283204,118496.2506550293,{'rb2010.SHFE': 73.29298901367298},118496.2506550293,166.70701098632702,73.29298901367292,21,77763.0051269526,0.0006217240684219154,117923.33465283204,0.0,0.0,1.0006217240684219
2020-07-13,119033.87164111329,0.0,119033.87164111329,117996.62764184571,{'rb2010.SHFE': 1110.536988281251},117996.62764184571,179.46301171874882,1110.536988281252,24,89667.0058593744,0.009373381266986511,119033.87164111329,0.0,0.0,1.0093733812669865
2020-07-14,118790.71563305665,11208.000732421802,107582.71490063485,120144.40862939454,{'rb2010.SHFE': -243.1560080566398},120144.40862939454,123.15600805663979,-243.15600805664144,18,67200.0043945308,-0.0020448356124177732,119033.87164111329,-243.15600805664144,-0.20427463603784637,0.9979551643875822
